retroID,mlbam
,453476
,824573
,824035
,607271
,824720
delaa101,113225
greeg002,502205
cordm001,112682
,684949
charr101,820101
marel101,118281
,534052
,666189
,557170
,685046
,500045
rodrr003,121364
,805068
,435888
hoggb101,116050
,561061
,670690
kreir001,668952
,825293
sittb001,670087
,692493
,606134
,461332
smitp102,122444
,808924
,611713
,557358
cormr001,112690
,808265
,555775
pennw001,120387
,686153
,466907
browt102,111595
bolae101,111167
,800884
,519059
,594512
,658426
,830571
,802952
,657037
,676858
,682652
,566499
,656781
,802510
,833511
,449109
,673164
,543166
,450598
,440808
marqb001,666622
,813400
,437942
,475048
,554350
,689600
,696286
,661553
schaa101,121754
stinj001,502139
,656436
,813770
,581435
,472223
,801314
,447015
,476364
dunnm001,113642
,443593
ciprf101,112296
burrj101,111774
crisd102,112830
,518460
morij001,434623
,801386
dezef901,
,667926
,699244
,813610
,448266
laroj101,117511
,822824
crocg001,676979
,568277
,702767
,532133
,464196
,836323
,438404
,687255
dunnt001,113641
,640838
,593452
,685386
,465584
,445681
,435775
,685622
,607492
,801924
,452274
,439965
,673280
,435984
,470545
,651010
,804806
,516542
,811170
,469443
martl003,501687
,567189
,500218
,684818
,431229
,453964
,693080
,566361
hineb801,
,802066
,564755
taylb003,607333
,695766
brazc001,425513
tracm001,595441
,657615
,808683
,822949
,681639
,593411
,809069
,703141
,438014
,670552
,454407
,441942
,807239
hamid101,115379
,679057
,823895
montl002,452215
,800018
,696521
,683819
burkg001,457566
,460713
,682787
,608072
,440904
frymw101,114466
,490163
,819022
garcj005,592329
,622015
,447461
,672886
,828598
,445243
plymj001,120632
brica001,592169
tsenj001,627500
,688534
,454979
browg102,111605
,694644
,622440
,446105
,558946
,828403
,547312
,607287
,683107
,803641
portu901,
,472983
,565643
,693258
,695153
,680426
,448335
,685960
,814215
,605676
depaj002,425428
,808390
martd001,118371
,683465
,835054
,822966
davim005,571602
,621404
,443328
,520688
,835211
,833253
,470250
rossh101,817435
,804613
campb102,111922
,438458
,464633
,556095
,692416
,691332
palld901,
,572802
,458248
,643227
,592487
,690776
,437956
,448677
,446116
,818696
,439910
,449854
,681945
,446652
,489425
millb112,119131
,833504
,804234
,493076
,442445
,669011
,676928
odeak101,119929
,808206
,830034
,438778
,831134
,545831
,533118
napol101,818005
,518451
,832230
,810859
,565184
,542693
,830685
,458509
,699299
,622430
,440227
,682726
,694713
,687931
,560796
,477037
,684597
,695614
,809730
,447769
,452643
,450654
naglj101,119639
,554799
may-t001,543507
,472376
,456885
,833466
,628312
,683338
biagg801,
,476965
,545636
,801109
,453050
estrj002,669093
,804115
,827515
oroum101,120060
,821099
,448329
freds001,114396
lives901,575629
,690061
,445927
,528464
,678602
,678511
,693450
,506687
,833545
,465471
whitc106,816656
,445796
,819277
,606624
,467078
peguc001,451713
purno101,120809
,801896
,518684
,656309
,824727
,557009
,805221
,807774
ortej001,514639
,448466
davik003,501981
,805004
,471021
,448623
watkp001,123980
gracm101,115009
,438470
,667372
,501519
tompc101,123391
,439756
,439299
,683363
,456204
,443385
,460687
,437529
,528721
,457413
mapec101,118271
,437211
shels101,122119
,441929
,829342
,455656
,572095
,669305
,829919
,466714
turbg101,123504
,543112
,830910
,703242
,822651
,827422
,809700
,445915
,448792
,437661
,607950
,816526
,674677
,822327
,675807
mccuj101,818243
,660764
,807180
,690117
,641880
,689043
,450399
,461242
,823266
pritw101,817665
,805215
,518463
,438286
lamaj102,818572
,461437
,806348
,804962
,831720
,693226
manst101,118254
,474235
,813719
,450115
gregf101,115119
,466569
,569478
,681590
,578910
,699069
,453748
,665002
,458122
scheg901,
,803164
rizzj101,121256
,558535
,689746
,568090
marmc001,461791
,465882
,801852
,607661
,594526
,830399
mahlr001,118162
,452928
,455349
,828148
,699121
,459986
,472555
,504330
,702563
,665626
,664640
,655671
,439468
sadlc001,424725
,570151
,441634
,461839
,824596
,441175
,453460
,443426
,824455
,441171
colea002,595918
,461500
,609172
marrd001,571918
,686444
waldm003,663362
,438581
,815156
brucl101,111614
,501509
priee001,133222
,441844
mcfag101,118668
,800669
,569339
,438190
,663680
,621137
,679655
garcg002,594824
,818159
,506877
,661420
,437340
,693697
,493729
,488869
,608622
,679206
,449842
lougu101,117936
,693860
walsj103,123884
,568276
,660442
,831092
,683814
batik001,110685
,688256
,442788
,457987
britj104,820382
,663858
,595280
,689513
siasg101,817266
moscr101,119431
,695279
,698815
,655321
,835319
fritb801,455007
,668059
,822297
,455539
drauj101,113550
,813935
marte001,118365
,467887
,681925
cabrl101,820233
,831718
,691865
,490993
,438065
,469620
drisj901,
,518754
,454398
,571981
,665783
,830583
,531031
,559871
,831726
,466071
,703641
reyna001,121117
,607356
,575589
,699384
,465595
rosez101,121457
,692225
,528144
,684578
,504076
,822829
,452871
,608382
,446547
,622460
,683442
rodre004,593958
,672390
,453167
,667650
theor101,123221
,444728
,819853
,643319
,811627
,683647
,445835
,624530
,592297
,833497
richc001,276537
tates001,123105
,801433
,450708
,822424
,825549
,570063
bankw002,457821
,688902
woodc101,124559
,672110
,669968
,572738
,801826
,545717
,451433
,672590
,821938
suskp101,122993
,438884
,669955
,454415
goodb101,114952
,599772
,474903
,699734
,627462
,443172
wilss002,621051
hoakd101,115988
,453468
,547967
missj102,818128
burnh101,111738
,452133
conwe101,112615
,572055
,437748
,821791
firod001,114144
,801969
,450357
browp103,111607
,462489
roseb901,
,460847
,701427
perej104,817799
,701653
,528570
,592281
,517052
,456200
,532692
,661408
,671287
,657001
,811205
,489298
,460767
,663634
,599706
,807373
,650971
,568670
rothb102,121489
bailf101,110442
,663575
,514893
,829324
,689878
,683302
myerb104,818007
,502084
,692503
foppj001,425817
,527011
,830472
,669219
,473849
willa003,657117
,806698
,809513
,822373
goodw101,114944
,695055
