year,mlbam,role,pitch_type,segment,vhb,pitches,Z_Pitches,O_Pitches,swings,Z_Swings,O_Swings,whiffs,Z_Whiffs,O_Whiffs,contacts,Z_Contacts,O_Contacts,called,Z_Called,edge,heart,chase,avg_spin,avg_ext,h_mov_in,v_mov_in,usage_rate,zone_rate,whiff_rate,z_whiff_rate,o_whiff_rate,z_swing_rate,o_swing_rate,z_contact_rate,o_contact_rate,csw_rate,z_csw_rate,edge_rate,heart_rate,chase_rate
2015,150302,pit,CH,two_strike,vsL,27,4,23,20,4,16,8,1,7,12,3,9,0,0,4,0,23,1115.148148148148,6.037037037037037,-0.7922222222222223,0.19962962962962963,0.08108108108108109,0.14814814814814814,0.4,0.25,0.4375,1.0,0.6956521739130435,0.75,0.5625,0.2962962962962963,0.25,0.14814814814814814,0.0,0.8518518518518519
2015,150302,pit,CH,two_strike,vsR,9,3,6,7,3,4,5,2,3,2,1,1,0,0,3,0,6,1060.111111111111,5.944444444444445,-0.7133333333333334,0.23666666666666666,0.02702702702702703,0.3333333333333333,0.7142857142857143,0.6666666666666666,0.75,1.0,0.6666666666666666,0.3333333333333333,0.25,0.5555555555555556,0.6666666666666666,0.3333333333333333,0.0,0.6666666666666666
2015,150302,pit,CH,,vsL,9,2,7,3,2,1,2,1,1,1,1,0,0,0,2,0,7,1353.5555555555557,6.033333333333333,-1.0977777777777777,0.42333333333333334,0.02702702702702703,0.2222222222222222,0.6666666666666666,0.5,1.0,1.0,0.14285714285714285,0.5,0.0,0.2222222222222222,0.5,0.2222222222222222,0.0,0.7777777777777778
2015,150302,pit,CH,,vsR,9,1,8,3,1,2,2,0,2,1,1,0,0,0,0,1,8,1145.7777777777778,6.366666666666666,-0.7477777777777779,0.12888888888888891,0.02702702702702703,0.1111111111111111,0.6666666666666666,0.0,1.0,1.0,0.25,1.0,0.0,0.2222222222222222,0.0,0.0,0.1111111111111111,0.8888888888888888
2015,150302,pit,IN,ahead,vsL,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1773.0,5.65,-1.2850000000000001,0.88,0.006006006006006006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,150302,pit,IN,,vsL,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,,,-1.07,0.75,0.003003003003003003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
2015,150302,pit,SI,ahead,vsL,33,16,17,11,7,4,1,0,1,10,7,3,10,7,14,2,17,1761.909090909091,6.296969696969697,-1.463939393939394,0.46515151515151515,0.0990990990990991,0.48484848484848486,0.09090909090909091,0.0,0.25,0.4375,0.23529411764705882,1.0,0.75,0.3333333333333333,0.4375,0.42424242424242425,0.06060606060606061,0.5151515151515151
2015,150302,pit,SI,ahead,vsR,20,12,8,12,9,3,3,2,1,9,7,2,3,2,10,2,8,1725.35,6.275,-1.4629999999999999,0.4385,0.06006006006006006,0.6,0.25,0.2222222222222222,0.3333333333333333,0.75,0.375,0.7777777777777778,0.6666666666666666,0.3,0.3333333333333333,0.5,0.1,0.4
2015,150302,pit,SI,behind,vsL,9,6,3,3,3,0,0,0,0,3,3,0,2,2,5,1,3,1786.4444444444443,6.211111111111111,-1.3888888888888888,0.4244444444444444,0.02702702702702703,0.6666666666666666,0.0,0.0,0.0,0.5,0.0,1.0,0.0,0.2222222222222222,0.3333333333333333,0.5555555555555556,0.1111111111111111,0.3333333333333333
2015,150302,pit,SI,behind,vsR,13,4,9,3,2,1,0,0,0,3,2,1,4,2,4,0,9,1755.75,6.291666666666667,-1.463076923076923,0.6523076923076924,0.03903903903903904,0.3076923076923077,0.0,0.0,0.0,0.5,0.1111111111111111,1.0,1.0,0.3076923076923077,0.5,0.3076923076923077,0.0,0.6923076923076923
